class_id,official_name,local_directory,host_group,host_id,host_zh,category,category_zh,image_count
0,Adristyrannus(citrus),Adristyrannus 枯叶夜蛾(柑橘),economic_crop,citrus,柑橘,pest,农业有害生物,186
1,Aleurocanthus spiniferus(citru),Aleurocanthus spiniferus 柑橘黑刺粉虱(柑橘),economic_crop,citrus,柑橘,pest,农业有害生物,414
2,Ampelophaga rubiginosa（vitis）,Ampelophaga rubiginosa 葡萄天蛾（葡萄）,economic_crop,grape,葡萄,pest,农业有害生物,458
3,Anticarsia gemmatalis(soybean),Anticarsia gemmatalis 大豆夜蛾(大豆),economic_crop,soybean,大豆,pest,农业有害生物,150
4,Aphids（cotton）,Aphids 蚜虫（棉花）,economic_crop,cotton,棉花,pest,农业有害生物,1582
5,Aphis citricola Vander Goot(citru),Aphis citricola Vander Goot 绣线菊蚜(柑橘),economic_crop,citrus,柑橘,pest,农业有害生物,210
6,Apolygus lucorum(vitis),Apolygus lucorum 绿盲蝽(葡萄),economic_crop,grape,葡萄,pest,农业有害生物,228
7,Army worm（cotton）,Army worm 黏虫（棉花）,economic_crop,cotton,棉花,pest,农业有害生物,1360
8,Bacterial blight（cotton）,Bacterial blight 棉花细菌性角斑病（棉花）,economic_crop,cotton,棉花,disease,植物病害,1000
9,Bactrocera tsuneonis(citru),Bactrocera tsuneonis 蜜柑大实蝇(柑橘),economic_crop,citrus,柑橘,pest,农业有害生物,100
10,Bemisia argentifolii(tomato),Bemisia argentifolii 银叶粉虱(番茄),economic_crop,tomato,番茄,pest,农业有害生物,840
11,Bird cherry-oat aphid(wheat),Bird cherry-oat aphid 禾谷缢管蚜(小麦),food_crop,wheat,小麦,pest,农业有害生物,424
12,Brevipoalpus lewisi McGregor(vitis),Brevipoalpus lewisi McGregor 刘氏短须螨(葡萄),economic_crop,grape,葡萄,pest,农业有害生物,47
13,Ceroplastes rubens(citru),Ceroplastes rubens 红蜡蚧(柑橘),economic_crop,citrus,柑橘,pest,农业有害生物,154
14,Chinese citrus fly(citru),Chinese citrus fly 柑橘大实蝇(柑橘),economic_crop,citrus,柑橘,pest,农业有害生物,232
15,Chlumetia transversa(mango),Chlumetia transversa 芒果横线尾夜蛾(芒果),economic_crop,mango,芒果,pest,农业有害生物,183
16,Chrysomphalus aonidum(citru),Chrysomphalus aonidum 褐圆蚧(柑橘),economic_crop,citrus,柑橘,pest,农业有害生物,135
17,Cicadella viridis(vitis),Cicadella viridis 大青叶蝉(葡萄),economic_crop,grape,葡萄,pest,农业有害生物,767
18,Cicadellidae(mango),Cicadellidae 叶蝉(芒果),economic_crop,mango,芒果,pest,农业有害生物,3444
19,Coccinellidae(soybean),Coccinellidae 瓢虫(大豆),economic_crop,soybean,大豆,pest,农业有害生物,150
20,Colomerus vitis(vitis),Colomerus vitis 葡萄瘿螨(葡萄),economic_crop,grape,葡萄,pest,农业有害生物,105
21,Cotton curl virus（cotton）,Cotton curl virus 棉花曲叶病毒病（棉花）,economic_crop,cotton,棉花,disease,植物病害,2530
