relative_path,class_id,sha256,size_bytes,width,height,decode_status,decode_error,duplicate_group_id,split
data/raw/dlcpd25/corn curvularia leaf spot fungus 玉米弯孢叶斑病/13547fc2-2290-4be8-b212-3b96e0435db6___RS_NLB 4247.JPG,107,de53020724ae8a9ef10c6d727a15613f53b626341c23eac928f5c8bdd5aa3660,20536,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/corn curvularia leaf spot fungus 玉米弯孢叶斑病/13547fc2-2290-4be8-b212-3b96e0435db6___RS_NLB 4247.JPG',de53020724ae8a9ef10c6d727a15613f53b626341c23eac928f5c8bdd5aa3660,
data/raw/dlcpd25/grape black rot 葡萄黑腐病（真菌）/1355b7b3e4c589ec1fb32742e194d6aa.jpg,115,972d53d2303949d0d2001e95b3d7e49f20dc007b2d4f3e43c0b4b1a995ce068a,20831,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/grape black rot 葡萄黑腐病（真菌）/1355b7b3e4c589ec1fb32742e194d6aa.jpg',972d53d2303949d0d2001e95b3d7e49f20dc007b2d4f3e43c0b4b1a995ce068a,
data/raw/dlcpd25/grape black rot 葡萄黑腐病（真菌）/135c9b2034d9775411a592854d92fb01.jpg,115,7ef08e1f82f7a1c3a0b41d276f0b1a97967ece968b6e4ed8941e96a6e78c64bd,16167,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/grape black rot 葡萄黑腐病（真菌）/135c9b2034d9775411a592854d92fb01.jpg',7ef08e1f82f7a1c3a0b41d276f0b1a97967ece968b6e4ed8941e96a6e78c64bd,
data/raw/dlcpd25/grape leaf blight 葡萄叶枯病(真菌)/134c61c022b65fc11265851f433252aa.jpg,118,0c0883c33402591cbff1ea5a3e465bac78881acb3baa0d83ff7a4ade5737d9b4,23808,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/grape leaf blight 葡萄叶枯病(真菌)/134c61c022b65fc11265851f433252aa.jpg',0c0883c33402591cbff1ea5a3e465bac78881acb3baa0d83ff7a4ade5737d9b4,
data/raw/dlcpd25/maize dwarf mosaic virus 玉米矮花叶病毒病/1356f22935c0d63ffd1639e994f8706e.jpg,125,16bbbe1ff419bc605549d6fbc7d8d4dda7d488e0f764831787992f0c922eac09,42009,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/maize dwarf mosaic virus 玉米矮花叶病毒病/1356f22935c0d63ffd1639e994f8706e.jpg',16bbbe1ff419bc605549d6fbc7d8d4dda7d488e0f764831787992f0c922eac09,
data/raw/dlcpd25/orange huanglongbing 柑橘黄龙病(黄龙病)/133ee171-bcbf-4fa7-9045-b86afb98805a___UF.Citrus_HLB_Lab 9979.JPG,131,f04bcf2df459ba1d355f64ee2468c658bbd939b0ecc70305d54ac6476c4aee02,12101,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/orange huanglongbing 柑橘黄龙病(黄龙病)/133ee171-bcbf-4fa7-9045-b86afb98805a___UF.Citrus_HLB_Lab 9979.JPG',f04bcf2df459ba1d355f64ee2468c658bbd939b0ecc70305d54ac6476c4aee02,
data/raw/dlcpd25/orange huanglongbing 柑橘黄龙病(黄龙病)/135632bd651bab9b85e4fb5d263b7583.jpg,131,a7d528976e4f6bbac854c0449a2b36daad36e2827251e6129576e00c351a6a30,16977,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/orange huanglongbing 柑橘黄龙病(黄龙病)/135632bd651bab9b85e4fb5d263b7583.jpg',a7d528976e4f6bbac854c0449a2b36daad36e2827251e6129576e00c351a6a30,
data/raw/dlcpd25/pepper healthy 健康辣椒/13577ac265f67197c00e0d727f0e8e40.jpg,138,1bbb7528a82575b8f6f56857462c36beb0aa10b087937eb150feec8a28bc20bf,21760,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/pepper healthy 健康辣椒/13577ac265f67197c00e0d727f0e8e40.jpg',1bbb7528a82575b8f6f56857462c36beb0aa10b087937eb150feec8a28bc20bf,
data/raw/dlcpd25/pepper scab 辣椒疮痂病/134dd8a58dee09554b8f585edfcc5606.jpg,139,66f41b99335001759a9d8938d919aad7a9b3e86927cf6cd9470736518ba433f1,35383,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/pepper scab 辣椒疮痂病/134dd8a58dee09554b8f585edfcc5606.jpg',66f41b99335001759a9d8938d919aad7a9b3e86927cf6cd9470736518ba433f1,
data/raw/dlcpd25/potato early blight 马铃薯早疫病(真菌)/13555097048cbac10f036dc0bde80383.jpg,140,23d05b223c9d545db5fa13f801e0ae28b684bae6a74e47dc30a876a797a3d2e4,23855,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/potato early blight 马铃薯早疫病(真菌)/13555097048cbac10f036dc0bde80383.jpg',23d05b223c9d545db5fa13f801e0ae28b684bae6a74e47dc30a876a797a3d2e4,
data/raw/dlcpd25/puccinia polysora 玉米南方锈病/13423c23b84edddf5ca898842a9c54e1.jpg,143,ae1bd23e6d16483116bf117d3599991adfe4641d984657225ea69ac1eb4f20fd,20205,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/puccinia polysora 玉米南方锈病/13423c23b84edddf5ca898842a9c54e1.jpg',ae1bd23e6d16483116bf117d3599991adfe4641d984657225ea69ac1eb4f20fd,
data/raw/dlcpd25/strawberry healthy 健康草莓/135ff653fc0bafe4200cf9b0a846356f.jpg,174,4a74a8cda5f23bdeb858dcf7fdacb18b42e1d24bca647b0e604a4c74047b9aeb,32564,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/strawberry healthy 健康草莓/135ff653fc0bafe4200cf9b0a846356f.jpg',4a74a8cda5f23bdeb858dcf7fdacb18b42e1d24bca647b0e604a4c74047b9aeb,
data/raw/dlcpd25/strawberry leaf scorch 草莓叶枯病/13638ede-19c5-4e53-b6a2-ea7198b4e8c9___RS_L.Scorch 0905.JPG,175,38a77feec39d84ee59d1b614eee1fe2a3178aaf03799c34d24d2745c4603cba0,20390,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/strawberry leaf scorch 草莓叶枯病/13638ede-19c5-4e53-b6a2-ea7198b4e8c9___RS_L.Scorch 0905.JPG',38a77feec39d84ee59d1b614eee1fe2a3178aaf03799c34d24d2745c4603cba0,
data/raw/dlcpd25/tomato late blight 番茄晚疫病(水霉)/1350ac99-ea6a-43a2-8ab5-178219b286ba___GHLB2 Leaf 8673.JPG,181,dab7994823b595bd56d422902926eda530c43d3ffc5dae66b66999c4457ecf08,14084,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/tomato late blight 番茄晚疫病(水霉)/1350ac99-ea6a-43a2-8ab5-178219b286ba___GHLB2 Leaf 8673.JPG',dab7994823b595bd56d422902926eda530c43d3ffc5dae66b66999c4457ecf08,
data/raw/dlcpd25/tomato leaf mold 番茄叶霉病(真菌)/134a0a0ce26d05d940c9ebdf2ece6b99.jpg,182,d110dca6d705371e05ef65ed9b4fb38a472947d735208769f27931fcef14ea85,17457,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/tomato leaf mold 番茄叶霉病(真菌)/134a0a0ce26d05d940c9ebdf2ece6b99.jpg',d110dca6d705371e05ef65ed9b4fb38a472947d735208769f27931fcef14ea85,
data/raw/dlcpd25/tomato leaf mold 番茄叶霉病(真菌)/134eb6f1af99a633d5e8e231986e682b.jpg,182,85744cb7476c47222f0bd8b79f259b04174ff0bf37526e703b848c94e1dd3c82,19516,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/tomato leaf mold 番茄叶霉病(真菌)/134eb6f1af99a633d5e8e231986e682b.jpg',85744cb7476c47222f0bd8b79f259b04174ff0bf37526e703b848c94e1dd3c82,
data/raw/dlcpd25/tomato powdery mildew 番茄白粉病/1362b249bab95d56d0648d626f84edf0.jpg,184,e1cb8f3539d1271a6b90f847b16fe4cfa012d0f9ac1031005b4e022e481350d0,17561,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/tomato powdery mildew 番茄白粉病/1362b249bab95d56d0648d626f84edf0.jpg',e1cb8f3539d1271a6b90f847b16fe4cfa012d0f9ac1031005b4e022e481350d0,
data/raw/dlcpd25/tomato septoria leaf spot 番茄斑枯病(真菌)/1341eefcc832152f2d4fb1397f5815d8.jpg,185,5fcc196c3eab1c231965c3bda5252e6ad161939724ce169d284b8964740a0ff2,24114,,,bad,UnidentifiedImageError: cannot identify image file '/home/zkf/DLCPD-25/data/raw/dlcpd25/tomato septoria leaf spot 番茄斑枯病(真菌)/1341eefcc832152f2d4fb1397f5815d8.jpg',5fcc196c3eab1c231965c3bda5252e6ad161939724ce169d284b8964740a0ff2,
